"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 05:26:09 UTC 2023","Wed Jul 19 05:26:12 UTC 2023","3615","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Jul 19 04:40:58 UTC 2023","Wed Jul 19 04:42:08 UTC 2023","69396","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Jul 19 05:17:51 UTC 2023","Wed Jul 19 05:18:08 UTC 2023","16985","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Jul 19 05:26:43 UTC 2023","Wed Jul 19 05:26:55 UTC 2023","12027","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Jul 19 06:06:52 UTC 2023","Wed Jul 19 06:07:21 UTC 2023","28940","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Jul 19 04:25:01 UTC 2023","Wed Jul 19 04:25:10 UTC 2023","9086","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Jul 19 04:27:46 UTC 2023","Wed Jul 19 04:27:47 UTC 2023","760","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Jul 19 06:04:14 UTC 2023","Wed Jul 19 06:04:33 UTC 2023","18627","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Jul 19 05:25:50 UTC 2023","Wed Jul 19 05:25:56 UTC 2023","5060","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Jul 19 04:27:35 UTC 2023","Wed Jul 19 04:27:46 UTC 2023","11169","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Jul 19 04:50:27 UTC 2023","Wed Jul 19 04:50:37 UTC 2023","9410","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Jul 19 05:35:33 UTC 2023","Wed Jul 19 05:35:49 UTC 2023","16141","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Jul 19 04:33:15 UTC 2023","Wed Jul 19 04:33:34 UTC 2023","19639","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Jul 19 06:10:14 UTC 2023","Wed Jul 19 06:10:20 UTC 2023","5193","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
